iter	RMSE
0	14.52923781
1	12.95862758
2	11.61128689
3	10.56670604
4	9.634385359
5	8.95949897
6	8.415699329
7	8.061970915
8	7.687594785
9	7.296875739
10	7.014398077
11	6.726582237
12	6.544967586
13	6.30001527
14	6.097380154
15	5.910117402
16	5.784620088
17	5.628096369
18	5.544180972
19	5.455138919
20	5.354036369
21	5.249457837
22	5.183049791
23	5.102045091
24	5.022125813
25	4.947816453
26	4.898878232
27	4.857727158
28	4.81238823
29	4.748982891
30	4.70102081
31	4.675877862
32	4.656119812
33	4.627901291
34	4.567389718
35	4.530260404
36	4.484509435
37	4.439669575
38	4.418191895
39	4.375996585
40	4.349744777
41	4.292711706
42	4.256317922
43	4.211572277
44	4.153914592
45	4.109598849
46	4.080224588
47	4.060972951
48	4.038499725
49	3.983720445
50	3.968365303
51	3.935054341
52	3.924129695
53	3.918629469
54	3.894716873
55	3.865364962
56	3.843529299
57	3.798394194
58	3.777902029
59	3.7537919
60	3.735807
61	3.713190929
62	3.687819846
63	3.662856563
64	3.632857971
65	3.626553021
66	3.593665614
67	3.572343714
68	3.558685181
69	3.525825849
70	3.519024947
71	3.499775726
72	3.483199499
73	3.467990676
74	3.446805593
75	3.422883789
76	3.409086625
77	3.390752916
78	3.376742896
79	3.341278837
80	3.322256326
81	3.301698493
82	3.281818856
83	3.265588634
84	3.261255825
85	3.253774777
86	3.241626724
87	3.228081156
88	3.218144041
89	3.214422744
90	3.187668496
91	3.156251987
92	3.134920748
93	3.120830201
94	3.110506293
95	3.099359386
96	3.085780146
97	3.060881313
98	3.047260899
99	3.039811844
100	3.026803826
101	3.020431329
102	3.006753444
103	2.993382565
104	2.978237426
105	2.958503168
106	2.942068769
107	2.931573547
108	2.9270956
109	2.904682821
110	2.895900088
111	2.880535187
112	2.869669891
113	2.856481574
114	2.854405388
115	2.838465303
116	2.823433302
117	2.810378603
118	2.790338787
119	2.780152574
120	2.767344736
121	2.752138391
122	2.743885999
123	2.729230532
124	2.719338937
125	2.707548874
126	2.689472617
127	2.684444091
128	2.674890523
129	2.665801764
130	2.650396377
131	2.64611972
132	2.636370506
133	2.627216872
134	2.617110842
135	2.608664457
136	2.596082545
137	2.588523535
138	2.580885433
139	2.577202549
140	2.574625133
141	2.570540341
142	2.566841913
143	2.566021622
144	2.55979684
145	2.551441839
146	2.550154022
147	2.537489084
148	2.524589552
149	2.518724023
150	2.501073121
151	2.491936831
152	2.488464804
153	2.482405727
154	2.475975304
155	2.463187099
156	2.457530732
157	2.451020336
158	2.441063286
159	2.435369416
160	2.42792966
161	2.417510801
162	2.413572887
163	2.406017759
164	2.397784902
165	2.392238733
166	2.386340176
167	2.378439342
168	2.366565584
169	2.359540289
170	2.353057993
171	2.350947486
172	2.34500116
173	2.341519786
174	2.335992176
175	2.332284805
176	2.328545507
177	2.324015607
178	2.315977013
179	2.310843291
180	2.305278811
181	2.299776547
182	2.293648254
183	2.290100019
184	2.282352861
185	2.278403423
186	2.274400558
187	2.269678225
188	2.266918385
189	2.26194826
190	2.257618251
191	2.250971729
192	2.241628106
193	2.237781509
194	2.228123818
195	2.224800582
196	2.220758626
197	2.218837085
198	2.212806206
199	2.204389926
200	2.201595468
201	2.193962394
202	2.186626828
203	2.175117626
204	2.171905149
205	2.167072673
206	2.164806232
207	2.161195018
208	2.155611174
209	2.151542014
210	2.145908243
211	2.142978029
212	2.134637477
213	2.129619555
214	2.127364129
215	2.123052963
216	2.119120439
217	2.115642079
218	2.113771627
219	2.106142994
220	2.10582635
221	2.10213052
222	2.097938332
223	2.089345197
224	2.084127077
225	2.078957941
226	2.072039181
227	2.07044621
228	2.06674759
229	2.06646664
230	2.065129819
231	2.064059415
232	2.059381425
233	2.056640942
234	2.056303397
235	2.052773096
236	2.051563236
237	2.047765477
238	2.04723169
239	2.042860668
240	2.040303184
241	2.032472257
242	2.029297563
243	2.024740706
244	2.017707158
245	2.01356604
246	2.009446643
247	2.006418559
248	2.003613274
249	2.000531561
250	1.996219518
251	1.993749802
252	1.988996911
253	1.987501415
254	1.98530746
255	1.984935157
256	1.984681157
257	1.982005104
258	1.977313743
259	1.973146924
260	1.97291567
261	1.967852607
262	1.967654654
263	1.965042538
264	1.960065283
265	1.956941269
266	1.956780461
267	1.952352455
268	1.952209374
269	1.945989289
270	1.945927622
271	1.943777467
272	1.93512487
273	1.92902099
