iter	Passed	Remaining
0	1	1310
1	2	1396
2	3	1318
3	4	1239
4	5	1184
5	6	1155
6	7	1132
7	8	1110
8	10	1108
9	11	1104
10	12	1090
11	13	1087
12	14	1082
13	15	1082
14	16	1084
15	17	1083
16	18	1080
17	19	1080
18	20	1076
19	21	1076
20	23	1077
21	24	1079
22	25	1079
23	26	1078
24	27	1075
25	28	1074
26	29	1074
27	30	1071
28	31	1068
29	33	1067
30	34	1064
31	35	1060
32	36	1055
33	36	1051
34	38	1048
35	39	1049
36	40	1045
37	41	1042
38	42	1039
39	43	1040
40	44	1039
41	45	1049
42	47	1058
43	49	1068
44	50	1072
45	51	1078
46	53	1076
47	54	1077
48	55	1078
49	56	1079
50	57	1078
51	59	1079
52	60	1077
53	61	1077
54	62	1077
55	63	1078
56	65	1082
57	66	1083
58	67	1083
59	69	1081
60	70	1080
61	71	1080
62	72	1082
63	74	1082
64	75	1082
65	76	1080
66	77	1079
67	78	1080
68	80	1079
69	81	1082
70	82	1083
71	84	1082
72	85	1081
73	86	1083
74	88	1086
75	89	1087
76	90	1087
77	91	1087
78	93	1085
79	94	1084
80	95	1083
81	96	1081
82	97	1080
83	98	1079
84	101	1088
85	102	1092
86	104	1094
87	105	1092
88	106	1091
89	107	1089
90	108	1087
91	110	1087
92	111	1086
93	112	1084
94	113	1083
95	115	1084
96	116	1083
97	117	1083
98	119	1083
99	120	1082
100	121	1082
101	122	1082
102	124	1082
103	125	1082
104	126	1082
105	128	1086
106	130	1091
107	132	1090
108	133	1091
109	134	1090
110	136	1090
111	137	1089
112	138	1089
113	140	1091
114	141	1089
115	142	1088
116	144	1087
117	145	1088
118	147	1089
119	149	1093
120	150	1095
121	153	1105
122	154	1104
123	156	1103
124	157	1101
125	158	1099
126	159	1098
127	160	1096
128	162	1095
129	163	1093
130	164	1091
131	165	1089
132	166	1087
133	168	1085
134	169	1084
135	170	1082
136	171	1081
137	172	1079
138	173	1076
139	175	1075
140	176	1073
141	177	1071
142	178	1068
143	179	1066
144	180	1064
145	181	1063
146	182	1061
147	183	1059
148	185	1058
149	186	1057
150	187	1056
151	189	1054
152	190	1053
153	191	1051
154	192	1050
155	193	1048
156	194	1046
157	196	1045
158	197	1043
159	198	1042
160	199	1040
161	201	1039
162	202	1038
163	203	1037
164	204	1035
165	205	1034
166	207	1032
167	208	1031
168	209	1029
169	210	1028
170	211	1026
171	213	1026
172	214	1025
173	215	1024
174	217	1023
175	218	1022
176	219	1021
177	220	1019
178	222	1018
179	223	1017
180	224	1017
181	226	1016
182	227	1015
183	228	1014
184	230	1013
185	231	1013
186	232	1011
187	233	1010
188	234	1008
189	236	1009
190	238	1011
191	240	1011
192	243	1017
193	244	1017
194	246	1015
195	247	1013
196	248	1012
197	249	1010
198	250	1008
199	251	1007
200	252	1005
201	254	1003
202	255	1002
203	256	1000
204	257	999
205	258	997
206	260	996
207	261	994
208	262	993
209	263	992
210	264	990
211	266	989
212	267	988
213	268	986
214	269	984
215	270	983
216	272	982
217	273	980
218	274	979
219	275	977
220	276	975
221	277	974
222	279	972
223	280	971
224	282	971
225	283	970
226	284	969
227	286	968
228	287	967
229	288	965
230	289	964
231	290	963
232	292	962
233	293	961
234	294	960
235	296	959
236	297	958
237	299	957
238	300	956
239	301	954
240	302	953
241	304	952
242	305	952
243	306	951
244	308	951
245	310	950
246	311	949
247	312	948
248	314	947
249	315	946
250	316	945
251	318	944
252	319	943
253	322	946
254	324	946
255	325	946
256	328	948
257	329	946
258	330	945
259	331	943
260	332	941
261	333	940
262	334	938
263	336	937
264	337	936
265	338	935
266	339	933
267	341	931
268	342	929
269	343	927
270	344	925
271	345	924
272	346	922
273	347	920
274	348	918
275	349	917
276	351	916
277	352	915
278	353	913
279	354	912
280	356	910
281	357	909
282	358	907
283	359	906
284	360	904
285	362	903
286	363	902
287	364	901
288	365	900
289	367	898
290	368	897
291	370	897
292	371	897
293	373	896
294	376	898
295	377	897
296	378	895
297	379	894
298	380	892
299	381	891
300	382	889
301	384	888
302	385	886
303	386	884
304	387	883
305	388	881
306	390	880
307	391	879
308	392	877
309	393	876
310	394	874
311	396	873
312	397	871
313	398	870
314	399	869
315	400	867
316	401	865
317	402	864
318	403	862
319	405	860
320	406	859
321	407	857
322	408	856
323	409	854
324	410	853
325	411	851
326	412	849
327	413	848
328	415	846
329	416	844
330	417	843
331	418	842
332	419	841
333	421	839
334	422	838
335	423	836
336	424	834
337	425	833
338	426	831
339	427	830
340	428	828
341	429	826
342	430	825
343	431	823
344	432	821
345	433	820
346	434	818
347	436	816
348	437	815
349	438	813
350	439	811
351	440	810
352	441	808
353	442	806
354	443	805
355	444	803
356	445	802
357	446	800
358	447	799
359	448	797
360	449	796
361	451	794
362	452	793
363	453	791
364	454	790
365	455	788
366	456	787
367	457	786
368	458	784
369	459	782
370	461	782
371	462	781
372	463	779
373	465	779
374	466	777
375	467	776
376	469	775
377	470	774
378	471	772
379	473	771
380	474	770
381	475	769
382	476	768
383	478	767
384	479	766
385	481	765
386	482	764
387	483	763
388	485	762
389	486	761
390	487	760
391	489	758
392	490	757
393	491	756
394	492	754
395	494	753
396	495	752
397	496	751
398	498	751
399	500	750
400	503	751
401	504	750
402	505	749
403	507	748
404	508	746
405	509	745
406	510	744
407	512	743
408	513	741
409	514	740
410	515	738
411	516	737
412	518	736
413	519	735
414	520	734
415	522	733
416	523	732
417	525	731
418	526	729
419	527	728
420	528	726
421	529	725
422	530	723
423	532	722
424	533	721
425	534	720
426	535	718
427	536	717
428	538	716
429	539	714
430	540	713
431	541	711
432	542	710
433	543	709
434	545	707
435	546	706
436	547	704
437	548	703
438	549	702
439	550	700
440	551	699
441	552	697
442	553	696
443	554	694
444	555	693
445	557	691
446	558	690
447	559	689
448	560	687
449	561	686
450	562	684
451	563	683
452	564	681
453	565	680
454	566	678
455	567	677
456	569	676
457	570	674
458	571	673
459	572	671
460	573	670
461	575	669
462	576	668
463	577	667
464	579	666
465	580	665
466	581	663
467	582	662
468	584	661
469	585	659
470	586	658
471	587	656
472	588	655
473	589	654
474	590	652
475	592	651
476	593	650
477	594	648
478	595	647
479	596	646
480	597	644
481	598	643
482	599	641
483	600	640
484	601	639
485	603	637
486	604	636
487	605	635
488	606	633
489	607	632
490	608	631
491	609	629
492	611	628
493	612	626
494	613	625
495	614	624
496	615	622
497	616	621
498	617	619
499	618	618
500	619	617
501	620	615
502	622	614
503	623	613
504	624	611
505	625	610
506	626	609
507	627	607
508	628	606
509	630	605
510	631	603
511	632	602
512	633	601
513	634	600
514	635	598
515	637	597
516	638	596
517	639	595
518	640	593
519	641	592
520	642	591
521	644	590
522	646	589
523	647	588
524	648	587
525	650	585
526	651	584
527	652	583
528	653	581
529	654	580
530	656	579
531	657	578
532	658	577
533	659	575
534	661	574
535	662	573
536	663	572
537	664	570
538	666	569
539	667	568
540	669	567
541	670	566
542	672	565
543	673	564
544	674	563
545	676	562
546	677	561
547	678	559
548	679	558
549	681	557
550	682	556
551	684	555
552	686	554
553	687	553
554	690	553
555	691	552
556	692	551
557	694	549
558	695	548
559	696	546
560	697	545
561	698	544
562	699	542
563	700	541
564	701	540
565	702	538
566	703	537
567	704	536
568	706	534
569	707	533
570	708	532
571	709	530
572	710	529
573	711	528
574	713	527
575	714	525
576	715	524
577	716	523
578	717	521
579	718	520
580	720	519
581	721	518
582	722	516
583	723	515
584	724	514
585	725	512
586	726	511
587	728	510
588	729	508
589	730	507
590	731	506
591	732	504
592	733	503
593	734	502
594	735	500
595	736	499
596	738	498
597	739	496
598	740	495
599	741	494
600	742	493
601	743	491
602	744	490
603	745	489
604	747	487
605	748	486
606	749	485
607	750	483
608	751	482
609	752	481
610	753	479
611	754	478
612	755	477
613	756	475
614	758	474
615	759	473
616	760	471
617	761	470
618	762	469
619	763	467
620	764	466
621	765	465
622	766	463
623	767	462
624	768	461
625	769	459
626	770	458
627	772	457
628	773	455
629	774	454
630	775	453
631	776	452
632	777	450
633	778	449
634	779	448
635	780	446
636	781	445
637	782	444
638	784	443
639	785	441
640	786	440
641	787	439
642	788	437
643	789	436
644	790	435
645	791	433
646	792	432
647	793	431
648	794	429
649	795	428
650	796	427
651	797	425
652	798	424
653	800	423
654	801	422
655	802	420
656	803	419
657	804	418
658	805	416
659	806	415
660	807	414
661	809	413
662	810	411
663	811	410
664	812	409
665	813	408
666	814	406
667	816	405
668	817	404
669	818	403
670	819	401
671	820	400
672	821	399
673	822	397
674	823	396
675	825	395
676	827	394
677	828	393
678	829	392
679	830	391
680	832	389
681	833	388
682	834	387
683	835	386
684	837	384
685	838	383
686	839	382
687	841	381
688	842	380
689	843	379
690	845	378
691	846	376
692	848	375
693	849	374
694	851	373
695	852	372
696	854	371
697	855	370
698	856	368
699	858	367
700	859	366
701	860	365
702	862	364
703	863	363
704	865	362
705	868	361
706	869	360
707	870	359
708	871	357
709	872	356
710	873	355
711	875	353
712	876	352
713	877	351
714	878	350
715	879	348
716	880	347
717	882	346
718	883	345
719	884	344
720	885	342
721	886	341
722	888	340
723	889	339
724	890	337
725	891	336
726	893	335
727	894	334
728	895	332
729	896	331
730	898	330
731	899	329
732	900	327
733	901	326
734	902	325
735	903	324
736	904	322
737	905	321
738	907	320
739	909	319
740	910	318
741	911	316
742	912	315
743	913	314
744	914	313
745	916	311
746	917	310
747	918	309
748	919	308
749	920	306
750	921	305
751	922	304
752	923	303
753	924	301
754	926	300
755	927	299
756	928	297
757	929	296
758	930	295
759	931	294
760	932	292
761	934	291
762	935	290
763	936	289
764	937	288
765	938	286
766	939	285
767	941	284
768	942	283
769	943	281
770	944	280
771	945	279
772	946	278
773	948	276
774	949	275
775	950	274
776	951	273
777	952	271
778	953	270
779	954	269
780	955	268
781	957	266
782	958	265
783	959	264
784	960	263
785	961	261
786	962	260
787	963	259
788	964	257
789	965	256
790	966	255
791	968	254
792	969	253
793	970	251
794	971	250
795	972	249
796	973	248
797	974	246
798	975	245
799	977	244
800	978	243
801	979	241
802	980	240
803	981	239
804	982	238
805	983	236
806	985	235
807	986	234
808	987	233
809	988	231
810	989	230
811	991	229
812	992	228
813	993	227
814	994	225
815	995	224
816	996	223
817	997	222
818	998	220
819	1000	219
820	1001	218
821	1002	217
822	1003	215
823	1004	214
824	1006	213
825	1007	212
826	1008	211
827	1010	209
828	1011	208
829	1012	207
830	1013	206
831	1014	204
832	1015	203
833	1016	202
834	1017	201
835	1018	199
836	1020	198
837	1021	197
838	1022	196
839	1023	195
840	1024	193
841	1026	192
842	1027	191
843	1028	190
844	1029	188
845	1031	187
846	1032	186
847	1033	185
848	1035	184
849	1036	182
850	1037	181
851	1039	180
852	1040	179
853	1041	178
854	1043	176
855	1044	175
856	1046	174
857	1047	173
858	1049	172
859	1050	171
860	1052	169
861	1053	168
862	1054	167
863	1056	166
864	1057	164
865	1059	163
866	1061	162
867	1062	161
868	1065	160
869	1066	159
870	1068	158
871	1069	156
872	1070	155
873	1071	154
874	1072	153
875	1073	152
876	1075	150
877	1076	149
878	1077	148
879	1078	147
880	1079	145
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1085	139
886	1087	138
887	1088	137
888	1089	136
889	1090	134
890	1091	133
891	1092	132
892	1094	131
893	1095	129
894	1096	128
895	1097	127
896	1098	126
897	1099	124
898	1100	123
899	1102	122
900	1103	121
901	1104	120
902	1105	118
903	1106	117
904	1107	116
905	1109	115
906	1110	113
907	1111	112
908	1112	111
909	1113	110
910	1114	108
911	1116	107
912	1117	106
913	1118	105
914	1119	103
915	1120	102
916	1121	101
917	1122	100
918	1124	99
919	1125	97
920	1126	96
921	1127	95
922	1128	94
923	1129	92
924	1130	91
925	1131	90
926	1132	89
927	1134	87
928	1135	86
929	1136	85
930	1137	84
931	1138	83
932	1139	81
933	1140	80
934	1141	79
935	1143	78
936	1144	76
937	1145	75
938	1146	74
939	1147	73
940	1148	72
941	1149	70
942	1151	69
943	1152	68
944	1153	67
945	1154	65
946	1155	64
947	1156	63
948	1157	62
949	1158	60
950	1159	59
951	1160	58
952	1162	57
953	1163	56
954	1164	54
955	1165	53
956	1167	52
957	1168	51
958	1169	49
959	1170	48
960	1171	47
961	1173	46
962	1174	45
963	1175	43
964	1176	42
965	1177	41
966	1178	40
967	1179	38
968	1180	37
969	1181	36
970	1182	35
971	1183	34
972	1184	32
973	1186	31
974	1188	30
975	1189	29
976	1190	28
977	1191	26
978	1192	25
979	1193	24
980	1194	23
981	1195	21
982	1197	20
983	1198	19
984	1199	18
985	1200	17
986	1201	15
987	1202	14
988	1203	13
989	1205	12
990	1206	10
991	1207	9
992	1209	8
993	1210	7
994	1211	6
995	1213	4
996	1214	3
997	1215	2
998	1216	1
999	1218	0
