iter	Passed	Remaining
0	25	2515
1	54	2668
2	79	2573
3	105	2532
4	135	2568
5	164	2583
6	195	2601
7	224	2583
8	254	2568
9	283	2548
10	313	2534
11	343	2517
12	372	2490
13	402	2474
14	432	2449
15	461	2422
16	491	2398
17	522	2378
18	553	2358
19	583	2334
20	612	2305
21	642	2277
22	672	2251
23	703	2229
24	732	2198
25	762	2170
26	792	2142
27	810	2084
28	839	2055
29	869	2028
30	899	2002
31	928	1973
32	958	1945
33	988	1918
34	1017	1889
35	1061	1886
36	1090	1856
37	1119	1826
38	1149	1798
39	1181	1771
40	1211	1743
41	1239	1712
42	1268	1681
43	1298	1652
44	1328	1623
45	1357	1594
46	1387	1564
47	1417	1535
48	1446	1505
49	1475	1475
50	1504	1445
51	1533	1415
52	1563	1386
53	1593	1357
54	1627	1331
55	1657	1302
56	1686	1272
57	1716	1242
58	1746	1213
59	1779	1186
60	1808	1156
61	1838	1126
62	1868	1097
63	1897	1067
64	1927	1037
65	1960	1009
66	1990	980
67	2019	950
68	2049	920
69	2080	891
70	2109	861
71	2139	831
72	2169	802
73	2199	772
74	2229	743
75	2258	713
76	2288	683
77	2317	653
78	2346	623
79	2375	593
80	2404	564
81	2434	534
82	2463	504
83	2497	475
84	2526	445
85	2556	416
86	2586	386
87	2615	356
88	2645	326
89	2675	297
90	2705	267
91	2734	237
92	2763	208
93	2793	178
94	2823	148
95	2853	118
96	2882	89
97	2912	59
98	2941	29
99	2970	0
